alpha_1,alpha_2,alpha_3,tardiness_index,makespan_index,initial_fragmentation_index,final_fragmentation_index,distance_index,objective_value,make_span,tardiness count,dispatch count,total distance,index
0.25,0.05,0.7,0.0,1.0286281516775853,0.06032531668938882,0.016233863752556237,0.38418897405176516,0.09472046411482266,17270.6666666667,0,1276,93633.0,0
0.2,0.1,0.7,0.0,1.0241413539805437,0.06032531668938882,0.017094463616223587,0.3862677636499626,0.09496218314889053,17195.333333333372,0,1225,90377.0,1
0.55,0.05,0.4,0.0,1.0139368671828461,0.06032531668938882,0.019476024625085207,0.39513525305410124,0.096053176052078,17024.000000000033,0,1200,90565.0,2
0.05,0.15,0.8,0.0,1.0227913440539997,0.06032531668938882,0.021468469523971828,0.38543597277145275,0.09612370533703682,17172.6666666667,0,1226,90256.0,3
0.1,0.2,0.7,0.0,1.0135398054397455,0.06032531668938882,0.021592020989547836,0.3934961410378554,0.09650421067263718,17017.333333333372,0,1198,90039.0,4
0.45,0.1,0.45,0.0,1.0234266428429615,0.06032531668938882,0.020455915558963873,0.394968497648416,0.09680495657467884,17183.33333333337,0,1180,89018.0,5
0.65,0.05,0.3,0.0,0.993408775064523,0.06032531668938882,0.025708983043626447,0.3944076966568451,0.09682390333199861,16679.333333333383,0,1139,85803.0,6
0.6,0.05,0.35,0.0,1.009926543577526,0.06032531668938882,0.024625422489207002,0.3928918895681646,0.09717314288245486,16956.666666666704,0,1157,86824.0,7
0.65,0.0,0.35,0.0,1.025332539209847,0.06032531668938882,0.02368387511361055,0.3890601424118357,0.09727780373575909,17215.333333333376,0,1211,89990.0,8
0.35,0.15,0.5,0.0,0.9943220170736559,0.06032531668938882,0.02902215050556691,0.3943847133289512,0.09786121733824799,16694.666666666726,0,1139,85798.0,9
0.5,0.15,0.35,0.0,0.964026206075045,0.06032531668938882,0.031831171182685754,0.40277863950708026,0.098028525609266,16186.000000000047,0,1097,84393.0,10
0.55,0.1,0.35,0.0,0.9706968433591425,0.06032531668938882,0.03251425457282435,0.3983589762957997,0.0981250161693844,16298.000000000045,0,1109,84380.0,11
0.15,0.2,0.65,0.0,1.0034544371649792,0.06032531668938882,0.0291300805214724,0.39416799453676304,0.09832854546836699,16848.000000000044,0,1150,86579.0,12
0.25,0.2,0.55,0.0,0.987016081000596,0.06032531668938882,0.031041577908429898,0.39825572025215616,0.09848884944777439,16572.00000000005,0,1137,86488.0,13
0.2,0.2,0.6,0.0,0.9993249950367281,0.06032531668938882,0.02972085534537605,0.39714924925617545,0.09859743128106677,16778.666666666708,0,1135,86096.0,14
0.0,0.3,0.7,0.0,1.021481040301767,0.06032531668938882,0.02501595873097023,0.40034904013961603,0.09861374364834102,17150.66666666671,0,1185,90613.0,15
0.5,0.1,0.4,0.0,1.018344252531268,0.06032531668938882,0.027575036213360597,0.39465812846692594,0.09865553633726418,17098.000000000036,0,1143,86159.0,16
0.45,0.2,0.35,0.0,0.9600952948183449,0.06032531668938882,0.034178649028629854,0.40494441391146724,0.09875280084065294,16120.000000000053,0,1086,83996.0,17
0.65,0.1,0.25,0.0,0.9470319634703199,0.06032531668938882,0.03607594509770508,0.4063766824396646,0.09881204994679399,15900.666666666713,0,1081,83905.0,18
0.3,0.2,0.5,0.0,0.9812983918999416,0.06032531668938882,0.033114970319245624,0.3984189611661456,0.09884130680738534,16476.000000000062,0,1112,84621.0,19
0.1,0.25,0.65,0.0,0.9965455628350213,0.06032531668938882,0.030526070069302434,0.39878735539123084,0.09886383470166488,16732.00000000005,0,1164,88660.0,20
0.7,0.05,0.25,0.0,0.9841969426245787,0.06032531668938882,0.03239070310724834,0.40139933365064256,0.0990669914284677,16524.66666666672,0,1100,84334.0,21
0.2,0.3,0.5,0.0,0.9795513202302963,0.06032531668938882,0.03235804007611906,0.4040469789160889,0.09908967592595942,16446.66666666672,0,1110,85662.0,22
0.8,0.0,0.2,0.0,1.00007941234862,0.06032531668938882,0.031017435668029992,0.39792844374676745,0.09910204569251675,16791.333333333376,0,1154,87709.0,23
0.05,0.3,0.65,0.0,0.9794719078816756,0.06032531668938882,0.032809641984776185,0.4035803858746164,0.09917452657697828,16445.333333333376,0,1121,86411.0,24
0.6,0.1,0.3,0.0,0.9907484613857456,0.06032531668938882,0.03173744248466257,0.40143718697632147,0.0992023745123182,16634.66666666671,0,1106,84802.0,25
