alpha_1,alpha_2,alpha_3,tardiness_index,initial_fragmentation_index,final_fragmentation_index,distance_index,objective_value,make_span,tardiness count,dispatch count,total distance,index
0.95,0,0.05,0.128224836,0.052799697,0.039188533,0.751348338,0.163826295,17552,2,1512,115906,0
0.9,0,0.1,0.162448511,0.052799697,0.037440593,0.747978662,0.183499151,17596,2,1525,116378,1
0.7,0,0.3,0.278797051,0.052799697,0.025643387,0.718663363,0.246837583,17848.66667,2,1598,117168,2
0.65,0,0.35,0.371547909,0.052799697,0.020602751,0.716424263,0.300751997,17958,2,1612,117826,3
0.85,0,0.15,0.391402514,0.052799697,0.031765354,0.749066378,0.319277752,17920.66667,2,1559,119145,4
0.8,0,0.2,0.444178182,0.052799697,0.028227723,0.734761233,0.348451349,18049.33333,2,1571,117769,5
0.6,0,0.4,0.479663164,0.052799697,0.017859765,0.713158453,0.364471673,18082,2,1662,120926,6
0.55,0,0.45,0.527979613,0.052799697,0.02097711,0.712906267,0.394371528,18196,3,1684,122483,7
0.75,0,0.25,0.538452652,0.052799697,0.025699054,0.733295132,0.404110821,18230,2,1625,121573,8
0.4,0,0.6,0.5750146,0.052799697,0.022630417,0.700832182,0.421881104,18428.66667,4,1689,120766,9
0.25,0,0.75,0.665197363,0.052799697,0.015221154,0.704620092,0.474146773,18433.33333,7,1749,125731,10
0.5,0,0.5,0.796028718,0.052799697,0.018071299,0.717874799,0.5548261,18834,4,1717,125753,11
0.45,0,0.55,0.795030645,0.052799697,0.019840114,0.72007935,0.554978356,18496.66667,5,1759,129224,12
0.35,0,0.65,0.808063541,0.052799697,0.022484291,0.718208157,0.563404228,18596.66667,6,1766,129401,13
0.65,0.05,0.3,0.920594122,0.052799697,0.037679961,0.714324225,0.635092884,18662,7,1818,132490,14
0.85,0.05,0.1,0.927758415,0.052799697,0.051375407,0.745581098,0.646625781,19010,3,1749,133040,15
0.8,0.05,0.15,0.950082625,0.052799697,0.042993365,0.731189427,0.656066528,18936.66667,3,1780,132784,16
0.1,0,0.9,1.009442326,0.052799697,0.013431464,0.706298421,0.680324677,18939.33333,8,1832,132010,17
0.7,0.05,0.25,1.005614133,0.052799697,0.040031887,0.72128465,0.687506511,18826,7,1797,132236,18
0.6,0.05,0.35,1.036846672,0.052799697,0.038506614,0.710607638,0.704720751,18724.66667,10,1827,132453,19
0.75,0.05,0.2,1.124706334,0.052799697,0.039742419,0.727812425,0.759527768,19190.66667,6,1798,133507,20
1,0,0,1.113608099,0.052799697,0.054669495,0.949272796,0.779492988,19013.33333,3,1550,150118,21
0.9,0.05,0.05,1.160798428,0.052799697,0.051479782,0.756972747,0.787620266,19325.33333,2,1722,132988,22
0.3,0,0.7,1.188795695,0.052799697,0.013981174,0.721119443,0.789583713,19264.66667,8,1830,134633,23
0.45,0.05,0.5,1.241248994,0.052799697,0.034849299,0.709344634,0.826138649,18876.66667,9,1848,133737,24
0.55,0.05,0.4,1.267255561,0.052799697,0.032213472,0.710028065,0.841020185,19244.66667,9,1872,135604,25
0.05,0,0.95,1.360118036,0.052799697,0.013598464,0.714100703,0.891560431,19476.66667,11,1877,136746,26
0.2,0,0.8,1.382935933,0.052799697,0.014550368,0.719293037,0.906055974,19280,8,1849,135686,27
0.65,0.1,0.25,1.498873124,0.052799697,0.035418493,0.730057222,0.982955144,19257.33333,15,1850,137791,28
0.7,0.1,0.2,1.538367208,0.052799697,0.037062058,0.738448801,1.007983822,19221.33333,20,1835,138245,29
0.85,0.1,0.05,1.565822791,0.052799697,0.049673392,0.772792785,1.031674971,19221.33333,14,1741,137265,30
0.15,0,0.85,1.595365779,0.052799697,0.0099161,0.719580341,1.032152332,19714,9,1919,140878,31
0.4,0.05,0.55,1.596688358,0.052799697,0.026368449,0.708329021,1.036756452,19824.66667,12,1894,136869,32
0.5,0.05,0.45,1.599673968,0.052799697,0.026222323,0.715185676,1.039189646,19236,11,1892,138048,33
0.55,0.1,0.35,1.638418168,0.052799697,0.037540793,0.714013709,1.06571451,19346.66667,16,1879,136875,34
0.8,0.1,0.1,1.638333959,0.052799697,0.044881864,0.758635418,1.072328477,19374.66667,17,1790,138542,35
0.3,0.05,0.65,1.744184598,0.052799697,0.022765409,0.708197124,1.124160094,19490.66667,13,1913,138216,36
0.75,0.1,0.15,1.727893531,0.052799697,0.041409642,0.751010439,1.124260055,19440,17,1814,138988,37
0.8,0.15,0.05,1.740243637,0.052799697,0.047737576,0.771567157,1.135624171,19181.33333,16,1752,137913,38
0.75,0.15,0.1,1.800554233,0.052799697,0.045996594,0.765399644,1.170671482,19274,18,1786,139465,39
0.35,0.05,0.6,1.828757945,0.052799697,0.022716701,0.711794496,1.175249227,19653.33333,16,1951,141677,40
0.6,0.1,0.3,1.828758848,0.052799697,0.036012737,0.722625806,1.18032171,19494.66667,16,1889,139263,41
0.25,0.05,0.7,1.849960101,0.052799697,0.023132811,0.711992255,1.18811513,19826,16,1944,141208,42
0.75,0.2,0.05,1.840012399,0.052799697,0.050442987,0.77249586,1.196389922,19206,17,1752,138079,43
0.5,0.1,0.4,1.862695736,0.052799697,0.029459353,0.718375303,1.198292778,19645.33333,16,1926,141155,44
0.45,0.1,0.45,1.980088238,0.052799697,0.030756391,0.71674742,1.268954602,19554,17,1934,141420,45
0.35,0.1,0.55,1.99662573,0.052799697,0.029452394,0.710936002,1.277904757,19480,18,1943,140926,46
0.7,0.2,0.1,2.034517707,0.052799697,0.046297195,0.762009232,1.310800706,19232.66667,21,1805,140324,47
0,0,1,2.076395192,0.052799697,0.012020308,0.703071623,1.31975037,20103.33333,16,2020,144889,48
0.7,0.25,0.05,2.100631019,0.052799697,0.04990441,0.776806067,1.353030541,19481.33333,20,1763,139721,49
0.95,0.05,0,2.081171154,0.052799697,0.049141773,0.951580026,1.358603227,20444,6,1683,163392,50
0.65,0.3,0.05,2.116936855,0.052799697,0.050743588,0.774571104,1.3628423,19362.66667,21,1762,139240,51
0.25,0.15,0.6,2.198343476,0.052799697,0.029924171,0.712637313,1.399247068,19584,22,1947,141554,52
0.2,0.1,0.7,2.271103458,0.052799697,0.024136206,0.711279453,1.441030882,19880.66667,21,1981,143751,53
0.1,0.05,0.85,2.339071956,0.052799697,0.017976665,0.710615228,1.479897696,20119.33333,19,2025,146806,54
0.25,0.1,0.65,2.371480748,0.052799697,0.026848576,0.711073965,1.502050418,19962,20,1982,143782,55
0.6,0.35,0.05,2.377963333,0.052799697,0.050743588,0.776498994,1.519650976,19726.66667,22,1774,140537,56
0.15,0.05,0.8,2.441834573,0.052799697,0.021213695,0.70703869,1.542168721,20108,19,2007,144769,57
0.2,0.05,0.75,2.445052985,0.052799697,0.021130194,0.713252303,1.544696079,19952,21,2000,145532,58
0.65,0.25,0.1,2.425456973,0.052799697,0.047737576,0.768172624,1.546412719,19268,23,1822,142791,59
0.45,0.15,0.4,2.445434755,0.052799697,0.03255304,0.725387779,1.549565543,19668,25,1916,141793,60
0.7,0.15,0.15,2.468903573,0.052799697,0.041487576,0.751665312,1.568954948,19630,26,1857,142406,61
0.65,0.15,0.2,2.512450338,0.052799697,0.033375518,0.743472262,1.591830085,20020.66667,26,1904,144418,62
0.4,0.15,0.45,2.533309697,0.052799697,0.025191094,0.723141814,1.599857328,20041.33333,23,1966,145042,63
0.45,0.5,0.05,2.523328409,0.052799697,0.050142385,0.77179145,1.606218906,19610.66667,22,1792,141102,64
0.5,0.15,0.35,2.551828737,0.052799697,0.028561724,0.732169786,1.612882738,19684,26,1937,144687,65
0.05,0.1,0.85,2.567594801,0.052799697,0.016921778,0.710815969,1.616715011,20168.66667,22,2034,147500,66
0.3,0.1,0.6,2.575981318,0.052799697,0.023255278,0.71791694,1.624357068,20449.33333,23,2001,146557,67
0.4,0.1,0.5,2.581214392,0.052799697,0.027806046,0.716976678,1.628768117,20222.66667,22,1993,145780,68
0.55,0.15,0.3,2.583150511,0.052799697,0.027897896,0.73472321,1.631731996,20016,23,1930,144667,69
0.6,0.15,0.25,2.583174748,0.052799697,0.034712915,0.734549762,1.633773699,19844.66667,26,1928,144483,70
0.05,0.05,0.9,2.595116111,0.052799697,0.020207516,0.711848933,1.634316815,19992,20,2040,148150,71
0.3,0.15,0.55,2.642618863,0.052799697,0.026072023,0.715663595,1.664959284,19934.66667,24,2000,146024,72
0.15,0.1,0.75,2.685994202,0.052799697,0.024506391,0.711316576,1.690080096,20223.33333,24,2027,147096,73
0.1,0.1,0.8,2.744937507,0.052799697,0.025107594,0.713255624,1.725820344,20446.66667,22,2035,148079,74
0.55,0.4,0.05,2.722804429,0.052799697,0.050505612,0.779930555,1.726827397,19607.33333,24,1801,143306,75
0.35,0.6,0.05,2.727369514,0.052799697,0.048939981,0.769703305,1.728074033,19448,25,1819,142840,76
0.35,0.15,0.5,2.779518632,0.052799697,0.03412563,0.716961923,1.74964506,19999.33333,22,1993,145777,77
0.6,0.3,0.1,2.76943125,0.052799697,0.044192987,0.768580991,1.751774745,20218.66667,26,1845,144670,78
0.65,0.2,0.15,2.785076812,0.052799697,0.037216534,0.762631546,1.758474202,20062,27,1874,145806,79
0.5,0.45,0.05,2.809153691,0.052799697,0.049240582,0.784290151,1.778693404,19778.66667,25,1818,145467,80
0.3,0.65,0.05,2.823998817,0.052799697,0.049240582,0.767835648,1.78595503,19708.66667,23,1824,142885,81
0.4,0.55,0.05,2.827896834,0.052799697,0.049541183,0.772727764,1.788873232,19934,24,1815,143086,82
0.2,0.15,0.65,2.86010471,0.052799697,0.022570575,0.712520014,1.794086,20550,22,2008,145964,83
0.55,0.35,0.1,2.849199941,0.052799697,0.046535171,0.76821871,1.800302387,19623.33333,24,1826,143113,84
0.5,0.2,0.3,2.894672187,0.052799697,0.033461802,0.735276618,1.820369514,20109.33333,27,1911,143351,85
0.25,0.7,0.05,2.95041966,0.052799697,0.045395391,0.765377828,1.860408196,20035.33333,25,1844,143989,86
0.6,0.2,0.2,2.987409823,0.052799697,0.035780328,0.749494773,1.878129469,19808,29,1911,146123,87
0.1,0.15,0.75,3.007960513,0.052799697,0.02128467,0.717894605,1.88295117,20462,25,2039,149335,88
0.15,0.15,0.7,3.024768704,0.052799697,0.021794022,0.717844989,1.893183928,20568,25,2045,149764,89
0.45,0.2,0.35,3.051729353,0.052799697,0.030603307,0.733558746,1.913574479,20170.66667,29,1951,146009,90
