alpha_1,alpha_2,alpha_3,tardiness_index,makespan_index,initial_fragmentation_index,final_fragmentation_index,fragmentationReductionRate,distance_index,objective_value,make_span,tardiness count,dispatch count,total distance,index
0.9,0.05,0.05,0.852995881501843,1.1481198702042357,0.09072985133020352,0.036592608894105386,59.67,0.4315541255124425,0.5806869235557013,20049.999999999985,2,1401,115480.0,0
0.95,0.0,0.05,0.8480911964065992,1.126932620729145,0.09072985133020352,0.055259797209181054,39.09,0.4271975358362793,0.582094481806469,19679.999999999985,2,1404,114559.0,1
0.8,0.05,0.15,0.911836381524787,1.0881465928612326,0.09072985133020352,0.024109562467396973,73.43,0.41090878490858734,0.6042410867127723,19002.66666666667,3,1431,112310.0,2
0.85,0.05,0.1,0.9530868556630967,1.0989501813323137,0.09072985133020352,0.0293808196400626,67.62,0.42159009644920203,0.6301185352182579,19191.33333333332,2,1413,113780.0,3
0.9,0.0,0.1,1.0126777727328684,1.1094483680091607,0.09072985133020352,0.04088316705790297,54.94,0.41596054536032734,0.6663061980569394,19374.666666666657,2,1465,116392.0,4
0.85,0.0,0.15,1.034238363037456,1.1335751097537676,0.09072985133020352,0.035441070031298906,60.94,0.4043630017452007,0.676578476342199,19795.999999999978,3,1500,115850.0,5
0.8,0.1,0.1,1.1204704151463878,1.1255583126550854,0.09072985133020352,0.01711425730307773,81.14,0.42079544410765135,0.719750465564956,19655.99999999999,3,1425,114530.0,6
0.75,0.05,0.2,1.148929798490755,1.1238022523382325,0.09072985133020352,0.023277533255086073,74.34,0.40867811024879086,0.7359525727882319,19625.333333333347,4,1443,112637.0,7
0.85,0.1,0.05,1.153030325588358,1.1370490551631975,0.09072985133020352,0.018411857720396448,79.71,0.43407568390281026,0.7399502575381569,19856.666666666653,2,1431,118642.0,8
0.8,0.0,0.2,1.1819543906539396,1.1249093338423346,0.09072985133020352,0.03627440336463225,60.02,0.39916244063292916,0.7571189466244661,19644.66666666665,4,1529,116571.0,9
0.65,0.05,0.3,1.2632893814823711,1.1301393395686188,0.09072985133020352,0.01842359480959833,79.69,0.39904102103054984,0.7967473073396696,19735.999999999993,5,1485,113182.0,10
0.75,0.1,0.15,1.2650679036857457,1.1574728001526984,0.09072985133020352,0.012570699660928534,86.14,0.4188445691873122,0.7993166538518048,20213.333333333307,3,1455,116399.0,11
0.65,0.1,0.25,1.3007969889614968,1.1302156900171774,0.09072985133020352,0.01263720983307251,86.07,0.4063715343680392,0.816377444816408,19737.33333333332,6,1462,113476.0,12
0.7,0.05,0.25,1.3104327154270785,1.1363237259018886,0.09072985133020352,0.018132775821596246,80.01,0.40381874373774007,0.8233758869002406,19843.999999999996,5,1484,114460.0,13
0.6,0.1,0.3,1.3174006910615397,1.1358274479862556,0.09072985133020352,0.011094434663536776,87.77,0.40053780674573497,0.8247438635567942,19835.333333333325,6,1470,112459.0,14
0.7,0.1,0.2,1.3440245597737142,1.1314754724184004,0.09072985133020352,0.012658075769431404,86.05,0.4134659399765399,0.8409312982249462,19759.333333333347,5,1464,115615.0,15
0.95,0.05,0.0,1.318887532788572,1.1647642679900723,0.09072985133020352,0.048793965179968736,46.22,0.5077339029509078,0.8490379362822997,20340.666666666642,3,1402,135962.0,16
0.7,0.15,0.15,1.361166468623792,1.1262454666921164,0.09072985133020352,0.009877689749608764,89.11,0.41983907640087487,0.8499010456426618,19668.000000000007,4,1453,116515.0,17
1.0,0.0,0.0,1.3329521855823943,1.156480244321433,0.09072985133020352,0.060090261476265075,33.77,0.5056845263387364,0.8595432453631418,20195.999999999975,3,1417,136862.0,18
0.75,0.15,0.1,1.4173802240668973,1.1525863714449311,0.09072985133020352,0.010021143062076162,88.95,0.4260009818993661,0.8827948829175996,20127.999999999996,3,1461,118876.0,19
