alpha_1,alpha_2,alpha_3,tardiness_index,makespan_index,initial_fragmentation_index,final_fragmentation_index,fragmentationReductionRate,distance_index,objective_value,make_span,tardiness count,dispatch count,total distance,index
0.3,0.25,0.45,0.0,1.0054972322962412,0.060289316018805196,0.004199937650498795,93.03,0.3965170739280816,0.09118655030276987,17559.333333333372,0,1214,91942.0,0
0.45,0.15,0.4,0.0,0.989998091238787,0.060289316018805196,0.007833408582731337,87.01,0.39456964573444714,0.09130689171020348,17288.666666666697,0,1199,90360.0,1
0.4,0.1,0.5,0.0,1.0035502958579885,0.060289316018805196,0.0063699869567710125,89.43,0.3923295275342207,0.0913214636333528,17525.333333333354,0,1245,93294.0,2
0.5,0.2,0.3,0.0,0.989501813323155,0.060289316018805196,0.005641859448457746,90.64,0.4024453238543837,0.09141218088613345,17280.000000000044,0,1196,91933.0,3
0.15,0.2,0.65,0.0,1.0235922886046964,0.060289316018805196,0.0029228478672170613,95.15,0.3939197041072611,0.09144843920112605,17875.33333333336,0,1257,94575.0,4
0.1,0.3,0.6,0.0,1.022752433670549,0.060289316018805196,0.0034230771987157427,94.32,0.3957398776276933,0.0917385326059115,17860.6666666667,0,1257,95012.0,5
0.2,0.25,0.55,0.0,1.0177896545142213,0.060289316018805196,0.0041612379600963175,93.1,0.39610125552788084,0.09174797966652805,17774.000000000033,0,1236,93510.0,6
0.45,0.2,0.35,0.0,1.0084748997900368,0.060289316018805196,0.004533901645453503,92.48,0.4001724974862175,0.09180116523175964,17611.333333333358,0,1208,92331.0,7
0.3,0.2,0.5,0.0,1.0168352739072344,0.060289316018805196,0.004073805326224055,93.24,0.39743018135650077,0.09180692342887903,17757.33333333335,0,1233,93596.0,8
0.4,0.2,0.4,0.0,1.0088566520328315,0.060289316018805196,0.005128730220158239,91.49,0.3984528261566407,0.09182673428335311,17618.00000000003,0,1225,93228.0,9
0.55,0.15,0.3,0.0,1.003702996755106,0.060289316018805196,0.005517160446049763,90.85,0.40022691939597865,0.0918629899111681,17528.00000000002,0,1209,92420.0,10
0.25,0.15,0.6,0.0,1.0176751288413821,0.060289316018805196,0.004599834451324389,92.37,0.39610210676620156,0.09187391745408657,17772.00000000002,0,1254,94872.0,11
0.15,0.15,0.7,0.0,1.0360374117197946,0.060289316018805196,0.00405230549822268,93.28,0.38909472269125334,0.09192703450458187,18092.666666666693,0,1293,96092.0,12
0.35,0.1,0.55,0.0,1.01378125596488,0.060289316018805196,0.006656651330122692,88.96,0.39255060394937547,0.09194111859221836,17704.000000000033,0,1270,95221.0,13
0.45,0.1,0.45,0.0,1.0046192021378142,0.060289316018805196,0.007714442867790388,87.2,0.3944734838657542,0.09199264135380325,17544.00000000004,0,1231,92749.0,14
0.45,0.3,0.25,0.0,0.9979003626646314,0.060289316018805196,0.0036065423976608187,94.02,0.41018189128477656,0.09199516998100749,17426.666666666693,0,1198,93857.0,15
0.05,0.2,0.75,0.0,1.0328688681046014,0.060289316018805196,0.004154071350762525,93.11,0.39151158968273697,0.09204082377873254,18037.33333333337,0,1306,97661.0,16
0.2,0.1,0.7,0.0,1.0318381370490555,0.060289316018805196,0.004539634932920534,92.47,0.39117081605262205,0.09207087893759114,18019.333333333354,0,1299,97053.0,17
0.3,0.1,0.6,0.0,1.0200801679709879,0.060289316018805196,0.00721134689255819,88.04,0.3901762395460583,0.09218503642092268,17814.000000000033,0,1289,96061.0,18
0.2,0.4,0.4,0.0,1.00618438633327,0.060289316018805196,0.003715474859534455,93.84,0.40769109521638924,0.09219297129616277,17571.333333333354,0,1229,95701.0,19
0.15,0.3,0.55,0.0,1.0277915632754344,0.060289316018805196,0.0036638752723311538,93.92,0.39712840251107207,0.09220158099657828,17948.666666666682,0,1246,94511.0,20
0.4,0.15,0.45,0.0,1.0194693643825157,0.060289316018805196,0.0050097645052172915,91.69,0.39730536533754307,0.09220693410444528,17803.333333333347,0,1247,94629.0,21
0.1,0.2,0.7,0.0,1.0347394540942931,0.060289316018805196,0.0032897782651072115,94.54,0.3950451534974067,0.0922284215339875,18070.00000000002,0,1283,96807.0,22
0.25,0.4,0.35,0.0,1.0047337278106516,0.060289316018805196,0.003603675753927301,94.02,0.40915782332083106,0.09223357144879388,17546.000000000025,0,1227,95889.0,23
0.05,0.3,0.65,0.0,1.021988929184959,0.060289316018805196,0.003534876304322899,94.14,0.40079479234303467,0.09223938858484829,17847.33333333335,0,1274,97527.0,24
0.25,0.05,0.7,0.0,1.0325634663103649,0.060289316018805196,0.00584252450980392,90.31,0.3886300240277443,0.09224393307123385,18032.00000000002,0,1327,98501.0,25
0.6,0.15,0.25,0.0,0.9925558312655104,0.060289316018805196,0.008352271098497876,86.15,0.40131550002199834,0.09226502289502472,17333.333333333376,0,1190,91215.0,26
0.3,0.15,0.55,0.0,1.0311891582363046,0.060289316018805196,0.0048520990998738665,91.95,0.3925047352009462,0.09226556116187201,18008.000000000015,0,1266,94910.0,27
0.05,0.45,0.5,0.0,1.022905134567666,0.060289316018805196,0.0032969448744410036,94.53,0.4020535517809766,0.09233969536881327,17863.333333333354,0,1261,96835.0,28
0.15,0.05,0.8,0.0,1.0398167589234593,0.060289316018805196,0.005838224544203644,90.32,0.3862466121996216,0.09236696652939622,18158.66666666669,0,1331,98192.0,29
0.65,0.05,0.3,0.0,0.9757969078068346,0.060289316018805196,0.013593929165233339,77.45,0.39506456664223094,0.09237448080413482,17040.6666666667,0,1207,91077.0,30
0.5,0.25,0.25,0.0,1.0033975949608707,0.060289316018805196,0.004588367876390322,92.39,0.4084299374023291,0.09238938385119355,17522.666666666686,0,1186,92520.0,31
0.4,0.35,0.25,0.0,1.0087803015842727,0.060289316018805196,0.0031650792626992308,94.75,0.41049644649284295,0.0924381835073077,17616.666666666697,0,1203,94321.0,32
0.25,0.2,0.55,0.0,1.0263027295285365,0.060289316018805196,0.00424007066276803,92.97,0.3988842982118663,0.09247558749644386,17922.66666666669,0,1252,95386.0,33
0.4,0.25,0.35,0.0,1.0117961443023484,0.060289316018805196,0.005527193699117074,90.83,0.4025931984651442,0.09250728517136697,17669.333333333358,0,1213,93274.0,34
0.6,0.2,0.2,0.0,0.9943882420309231,0.060289316018805196,0.006196555010893245,89.72,0.4094143718601838,0.09251981579083252,17365.33333333337,0,1186,92743.0,35
0.55,0.2,0.25,0.0,1.0028249665966793,0.060289316018805196,0.005517160446049766,90.85,0.4072663810883706,0.09252303457248595,17512.66666666669,0,1188,92412.0,36
0.4,0.3,0.3,0.0,1.0126359992364962,0.060289316018805196,0.003491876648320145,94.21,0.40848072425108406,0.09252743538142927,17684.000000000025,0,1211,94482.0,37
0.35,0.2,0.45,0.0,1.0178660049627795,0.060289316018805196,0.006205154942093795,89.71,0.39797853531569866,0.09255270026233697,17775.333333333354,0,1223,92965.0,38
0.15,0.55,0.3,0.0,1.0140866577591139,0.060289316018805196,0.003232445390436876,94.64,0.4090024935518976,0.09257431586027653,17709.33333333334,0,1222,95462.0,39
0.2,0.15,0.65,0.0,1.0380225233823255,0.060289316018805196,0.004786166294002979,92.06,0.39242454633651125,0.0925794306909683,18127.333333333358,0,1279,95865.0,40
0.35,0.4,0.25,0.0,1.002710440923841,0.060289316018805196,0.0034632102109849786,94.26,0.4141165736134344,0.092586142470831,17510.66666666669,0,1205,95311.0,41
