p1_a1,p1_a2,p1_a3,p2_a1,p2_a2,p2_a3,p3_a1,p3_a2,p3_a3,tardiness_index,makespan_index,initial_fragmentation_index,final_fragmentation_index,fragmentationReductionRate,distance_index,objective_value,make_span,tardiness count,dispatch count,total distance,index
0.5,0.25,0.25,0.55,0.2,0.25,0.7,0.15,0.15,0.04099975649743679,0.9835464783355613,0.060289316018805196,0.010442054380231623,82.68,0.4046164888440724,0.11532145518884503,17176.000000000033,1,1189,91888.0,0
0.5,0.25,0.25,0.65,0.15,0.2,0.75,0.1,0.15,0.04099975649743679,0.9683909142966229,0.060289316018805196,0.012983334049994263,78.46,0.40600879227693465,0.11546529123111313,16911.333333333372,1,1185,91894.0,1
0.5,0.25,0.25,0.6,0.2,0.2,0.75,0.1,0.15,0.04099975649743679,0.9854552395495332,0.060289316018805196,0.0141156583247334,76.59,0.403876573465523,0.11644498289503923,17209.33333333336,1,1175,90640.0,2
0.5,0.25,0.25,0.65,0.15,0.2,0.8,0.1,0.1,0.04099975649743679,0.9833174269898844,0.060289316018805196,0.012164907264075216,79.82,0.4112609814535451,0.11649130774766153,17172.00000000003,1,1180,92690.0,3
0.5,0.25,0.25,0.6,0.2,0.2,0.8,0.1,0.1,0.04099975649743679,0.9866386715021955,0.060289316018805196,0.016037742948056412,73.4,0.4081483540127663,0.11750795793439357,17230.000000000022,1,1168,91053.0,4
0.5,0.25,0.25,0.6,0.2,0.2,0.85,0.05,0.1,0.04099975649743679,0.9578545523954972,0.060289316018805196,0.025209569573443422,58.19,0.4065234503716179,0.11865780960255992,16727.33333333338,1,1144,88827.0,5
0.5,0.25,0.25,0.65,0.15,0.2,0.85,0.05,0.1,0.04099975649743679,0.9801107081504117,0.060289316018805196,0.023265985122119023,61.41,0.40982220767888305,0.11951741778563484,17116.000000000036,1,1152,90174.0,6
0.5,0.25,0.25,0.55,0.2,0.25,0.85,0.05,0.1,0.04099975649743679,0.9879748043519766,0.060289316018805196,0.024990271327829387,58.55,0.4042668562237138,0.11987237331190927,17253.333333333365,1,1149,88720.0,7
0.45,0.25,0.3,0.55,0.2,0.25,0.7,0.15,0.15,0.1287514684484029,0.9838518801297964,0.060289316018805196,0.008839600533195734,85.34,0.40192871968949295,0.16285065378201946,17181.333333333358,1,1183,90817.0,8
0.45,0.25,0.3,0.55,0.2,0.25,0.75,0.1,0.15,0.1287514684484029,0.9727428898644797,0.060289316018805196,0.014387989479417494,76.14,0.4016656725650032,0.16393341624017116,16987.333333333376,1,1185,90911.0,9
0.45,0.25,0.3,0.55,0.2,0.25,0.8,0.1,0.1,0.1287514684484029,0.9868677228478728,0.060289316018805196,0.015114683665864005,74.93,0.4033151386877576,0.1650226127575502,17234.000000000033,1,1175,90514.0,10
0.45,0.25,0.3,0.55,0.2,0.25,0.85,0.05,0.1,0.1287514684484029,0.9701469746134772,0.060289316018805196,0.021315234061460835,64.65,0.4025317363551603,0.16596840023124976,16942.000000000036,1,1168,89800.0,11
0.45,0.25,0.3,0.6,0.2,0.2,0.85,0.05,0.1,0.1287514684484029,0.9810650887573971,0.060289316018805196,0.02024740927072583,66.42,0.40727780095739285,0.16666856496144852,17132.66666666669,1,1167,90781.0,12
0.45,0.25,0.3,0.65,0.15,0.2,0.85,0.05,0.1,0.1287514684484029,0.9683527390723436,0.060289316018805196,0.023658715313610825,60.76,0.4047819694470344,0.16680675613902549,16910.666666666708,1,1168,90302.0,13
0.4,0.3,0.3,0.65,0.15,0.2,0.75,0.1,0.15,0.16300029510424166,0.969688871922124,0.060289316018805196,0.012798435529182433,78.77,0.4048140917561452,0.18245554573780837,16934.00000000004,1,1180,91237.0,14
0.4,0.3,0.3,0.65,0.15,0.2,0.8,0.1,0.1,0.16300029510424166,0.975682382133996,0.060289316018805196,0.012827101966517599,78.72,0.40718946169534626,0.18300135817352264,17038.666666666697,1,1186,92239.0,15
0.4,0.3,0.3,0.6,0.2,0.2,0.75,0.1,0.15,0.16300029510424166,0.9884710822676095,0.060289316018805196,0.011395213421625958,81.1,0.4051669095856873,0.18300897140576994,17262.000000000033,1,1189,92013.0,16
0.4,0.3,0.3,0.65,0.15,0.2,0.85,0.05,0.1,0.16300029510424166,0.9836991792326791,0.060289316018805196,0.017406565330810687,71.13,0.40739138578449297,0.18479622944665938,17178.6666666667,1,1174,91351.0,17
0.4,0.3,0.3,0.6,0.2,0.2,0.85,0.05,0.1,0.16300029510424166,0.9709104790990661,0.060289316018805196,0.020201542970989562,66.49,0.4091800248545292,0.185174151639036,16955.333333333372,1,1167,91205.0,18
0.5,0.25,0.25,0.65,0.15,0.2,0.7,0.15,0.15,0.05546974604438015,0.9910669975186117,0.060289316018805196,0.009668060572182087,83.96,0.4062174978405345,0.12358387815604774,17307.33333333337,2,1188,92174.0,19
0.5,0.25,0.25,0.55,0.2,0.25,0.75,0.1,0.15,0.08413687920621735,0.9942355411338053,0.060289316018805196,0.0132370320204105,78.04,0.40417329306863464,0.14037549953309642,17362.6666666667,2,1172,90475.0,20
0.5,0.25,0.25,0.55,0.2,0.25,0.8,0.1,0.1,0.1103480571688825,0.9972132086276019,0.060289316018805196,0.014934085110652447,75.23,0.40667941318371065,0.15570025872583226,17414.6666666667,2,1172,91036.0,21
0.45,0.25,0.3,0.6,0.2,0.2,0.8,0.1,0.1,0.15890128258586791,0.9930902844054215,0.060289316018805196,0.014314890064212816,76.26,0.40603971988424237,0.1819486586501865,17342.66666666669,2,1185,91901.0,22
0.4,0.3,0.3,0.55,0.2,0.25,0.7,0.15,0.15,0.16331490891837683,0.9814086657759135,0.060289316018805196,0.008323604661162711,86.19,0.4059395485943068,0.18198466945168243,17138.666666666715,2,1190,92266.0,23
0.4,0.3,0.3,0.55,0.2,0.25,0.75,0.1,0.15,0.16331490891837683,0.9728574155373175,0.060289316018805196,0.014334956570347434,76.22,0.4039740966150194,0.1831639673145793,16989.33333333337,2,1182,91202.0,24
0.4,0.3,0.3,0.55,0.2,0.25,0.8,0.1,0.1,0.16331490891837683,0.9678182859324309,0.060289316018805196,0.014409489307418871,76.1,0.40803473808656077,0.18334043480261053,16901.333333333365,2,1178,91807.0,25
