alpha_1,alpha_2,alpha_3,w_s1,w_s2,gamma1,gamma2,margin_sec,tardiness_index,makespan_index,initial_fragmentation_index,final_fragmentation_index,fragmentationReductionRate,distance_index,objective_value,make_span,tardiness count,dispatch count,total distance,index
0.45,0.2,0.35,0.3,0.7,0.2,0.3,1200,0.0,1.0133809807425052,0.06032531668938882,0.00633128479322881,89.5,0.39522256945853684,0.09209069142094758,17014.666666666704,0,1161,87641.0,0
0.45,0.2,0.35,0.3,0.7,0.1,0.3,1200,0.0,1.0180266031367873,0.06032531668938882,0.006909278431038401,88.55,0.3980545747257059,0.09277957115872149,17092.666666666704,0,1161,88269.0,1
0.45,0.2,0.35,0.3,0.7,0.2,0.4,1200,0.0,1.0219178082191775,0.06032531668938882,0.0080141409622813,86.72,0.4005998940306952,0.09356012210271279,17158.000000000036,0,1166,89216.0,2
0.45,0.2,0.35,0.3,0.7,0.1,0.4,1200,0.0,1.0190192574945398,0.06032531668938882,0.010483750142013177,82.62,0.3987525608923287,0.09397134400656382,17109.33333333337,0,1150,87586.0,3
0.45,0.2,0.35,0.3,0.7,0.5,0.3,1200,0.0,1.029144331943616,0.06032531668938882,0.008039703334469437,86.67,0.4026740588165906,0.09413653347918069,17279.333333333358,0,1154,88755.0,4
0.45,0.2,0.35,0.3,0.7,0.5,0.5,1200,0.0,1.016319237641453,0.06032531668938882,0.01045818776982504,82.66,0.40219566349606645,0.09417298456262681,17064.00000000004,0,1146,88035.0,5
0.45,0.2,0.35,0.3,0.7,0.1,0.5,1200,0.0,1.0138177486599165,0.06032531668938882,0.012814186406498519,78.76,0.39678219987382984,0.09421336334232837,17022.000000000044,0,1137,86168.0,6
0.45,0.2,0.35,0.3,0.7,0.5,0.4,1200,0.0,1.017867778439547,0.06032531668938882,0.010196883520790727,83.1,0.4036585142606085,0.09431830540427541,17090.000000000036,0,1144,88201.0,7
0.45,0.2,0.35,0.3,0.7,0.3,0.5,1200,0.0,1.0282310899344842,0.06032531668938882,0.009671434759145649,83.97,0.40224447985431366,0.09453743290989929,17264.000000000036,0,1150,88353.0,8
0.45,0.2,0.35,0.3,0.7,0.4,0.5,1200,0.0,1.0264443120905293,0.06032531668938882,0.010943872841399681,81.86,0.4004916358064104,0.09465454103758741,17234.000000000033,0,1148,87815.0,9
0.45,0.2,0.35,0.3,0.7,0.3,0.4,1200,0.005171788402413444,1.0297399245582681,0.06032531668938882,0.008188817172233583,86.43,0.4000552068673723,0.09679364568764812,17289.33333333337,1,1157,88407.0,10
0.45,0.2,0.35,0.3,0.7,0.2,0.5,1200,0.011782168698277504,1.03045463569585,0.06032531668938882,0.011260562230174957,81.33,0.39581521839675876,0.10096261507757348,17301.333333333365,1,1132,85580.0,11
0.45,0.2,0.35,0.3,0.7,0.4,0.3,1200,0.0352956412095322,1.0225928131824493,0.06032531668938882,0.0074404077198364,87.67,0.3996629440711862,0.11274066004743472,17169.33333333337,1,1165,88931.0,12
0.45,0.2,0.35,0.3,0.7,0.4,0.4,1200,0.054768729541784605,1.0352193766130626,0.06032531668938882,0.0085026662974324,85.91,0.4014278914802475,0.12457735911588916,17381.33333333337,1,1155,88557.0,13
0.45,0.2,0.35,0.3,0.7,0.4,0.2,1200,0.06349631155912104,1.0239428231089929,0.06032531668938882,0.006588328646898432,89.08,0.40046757644023845,0.12814336875105958,17192.000000000036,2,1169,89416.0,14
0.45,0.2,0.35,0.3,0.7,0.3,0.3,1200,0.09328793442356714,1.0361723247965051,0.06032531668938882,0.005750450891842762,90.47,0.40121743518576924,0.14496385895891695,17397.333333333365,2,1162,89047.0,15
0.45,0.2,0.35,0.3,0.7,0.1,0.2,1200,0.10469362667014524,1.0293428628151677,0.06032531668938882,0.005408199130879345,91.03,0.3986840243384746,0.15053949998244956,17282.66666666671,4,1184,90160.0,16
0.45,0.2,0.35,0.3,0.7,0.2,0.2,1200,0.10935253692738015,1.0333134802461776,0.06032531668938882,0.006638033259486478,89.0,0.39713990119984416,0.15351496942019832,17349.33333333337,4,1169,88673.0,17
0.45,0.2,0.35,0.3,0.7,0.3,0.2,1200,0.23404685661918467,1.0441135596585267,0.06032531668938882,0.005655302062031356,90.63,0.40149033665009753,0.22277707340709707,17530.666666666708,5,1186,90948.0,18
0.45,0.2,0.35,0.3,0.7,0.1,0.1,1200,0.3247637473563341,1.0352590827873724,0.06032531668938882,0.004000848528743466,93.37,0.40365268466641613,0.27194853821061704,17382.00000000003,5,1198,92363.0,19
0.45,0.2,0.35,0.3,0.7,0.5,0.2,1200,0.32636845484163185,1.050466547548142,0.06032531668938882,0.006018855799818222,90.02,0.40559762428469637,0.27439139670871976,17637.33333333335,4,1183,91646.0,20
0.45,0.2,0.35,0.3,0.7,0.5,0.1,1200,0.45343188812241264,1.0387929323009715,0.06032531668938882,0.004485113468529879,92.57,0.40508826856797076,0.3431815459797316,17441.333333333358,6,1194,92382.0,21
0.45,0.2,0.35,0.3,0.7,0.4,0.1,1200,0.5332392186029095,1.047409172126265,0.06032531668938882,0.004578842166553054,92.41,0.4049225010134815,0.38751793158922754,17586.000000000036,5,1214,93891.0,22
0.45,0.2,0.35,0.3,0.7,0.3,0.1,1200,0.5564361350180552,1.0486003573555678,0.06032531668938882,0.005077308424221765,91.58,0.40462855055573915,0.4004559397105492,17606.00000000003,6,1204,93050.0,23
0.45,0.2,0.35,0.3,0.7,0.2,0.1,1200,0.5716070960258768,1.0422870756402614,0.06032531668938882,0.004607244802317654,92.36,0.4049803124053481,0.4083784612774754,17500.000000000033,8,1210,93595.0,24
