alpha_1,alpha_2,alpha_3,w_s1,w_s2,gamma1,gamma2,margin_sec,lambda,p,epsilon,beta,tardiness_index,makespan_index,initial_fragmentation_index,final_fragmentation_index,fragmentationReductionRate,distance_index,objective_value,make_span,tardiness count,dispatch count,total distance,index
0.55,0.2,0.25,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.0,1.0251737145126063,0.060289316018805196,0.005026964367618393,91.66,0.4057901160322626,0.0933457866391421,17212.666666666704,0,1184,91767.0,0
0.6,0.2,0.2,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.0,1.0290649195949961,0.060289316018805196,0.007584010577915376,87.42,0.408987412275816,0.09462719038070602,17278.00000000003,0,1175,91787.0,1
0.65,0.15,0.2,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.0,1.0289060948977562,0.060289316018805196,0.008458336916638002,85.97,0.40943639248992225,0.09492644506887143,17275.333333333372,0,1191,93139.0,2
0.7,0.05,0.25,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.0,1.0143339289259479,0.060289316018805196,0.014855252407980732,75.36,0.4002433942110701,0.09519761158979861,17030.666666666708,0,1196,91430.0,3
0.65,0.05,0.3,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.0,1.0282707961087936,0.060289316018805196,0.01422889075220731,76.4,0.3973245111835607,0.09541465814945796,17264.66666666669,0,1198,90915.0,4
0.75,0.1,0.15,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.0,1.0079809410363296,0.060289316018805196,0.0135953624871001,77.45,0.4101102818313468,0.0954886839810812,16924.00000000002,0,1175,92039.0,5
0.7,0.15,0.15,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.0,1.0262060750446684,0.060289316018805196,0.010423421195963763,82.71,0.41269969123372263,0.09570729923439482,17230.00000000003,0,1170,92226.0,6
0.75,0.15,0.1,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.0,1.0273575540996616,0.060289316018805196,0.010638419475977521,82.35,0.41810970001415027,0.09637037354919137,17249.33333333336,0,1184,94553.0,7
0.8,0.1,0.1,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.0,1.0098471312289052,0.060289316018805196,0.0174610315617475,71.04,0.4151356496906235,0.09724423099903187,16955.333333333365,0,1155,91581.0,8
0.8,0.05,0.15,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.0,1.0075441731189199,0.060289316018805196,0.022040494926040585,63.44,0.4092712850819046,0.09791648564194863,16916.666666666708,0,1165,91069.0,9
0.8,0.0,0.2,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.0,1.0144530474488782,0.060289316018805196,0.02572556544547643,57.33,0.3990754149493149,0.09834786350101835,17032.666666666708,0,1222,93145.0,10
0.75,0.05,0.2,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.0018501392881870831,1.029382568989478,0.060289316018805196,0.018687955079692696,69.0,0.4034082568603291,0.09843391726791753,17283.33333333338,1,1177,90689.0,11
