type,time,agv_id,tote_id,station_id,kit_id,matched_parts,deadline,st,st_urgency,st_progress,st_contribution,sf,sd,alpha_1,alpha_2,alpha_3,gamma1,gamma2,epsilon,beta,lambda_,p,margin_sec,total_score,transferred_parts,completed,old_kit_id,new_kit_id
dispatch,0.0,AGV_01,TOTE_0252,station_4,KIT_0004_01,{'PART_04': 400},2880.0,0.43703703703703706,0.2,0.2,0.037037037037037035,0.5,0.25,0.9,0.0,0.1,0.2,0.3,0.2,0.1,0.006,2.0,1200.0,0.36833333333333335,,,,
dispatch,0.0,AGV_07,TOTE_0261,station_2,KIT_0002_01,{'PART_04': 400},2880.0,0.4277777777777778,0.2,0.2,0.027777777777777776,0.5,0.3101851851851852,0.9,0.0,0.1,0.2,0.3,0.2,0.1,0.006,2.0,1200.0,0.35398148148148156,,,,
dispatch,0.0,AGV_02,TOTE_0270,station_4,KIT_0004_01,{'PART_04': 400},2880.0,0.41756216310206923,0.2,0.17530864197530865,0.04225352112676056,0.5,0.25925925925925924,0.9,0.0,0.1,0.2,0.3,0.2,0.1,0.006,2.0,1200.0,0.3498800208659364,,,,
dispatch,0.0,AGV_08,TOTE_0192,station_3,KIT_0003_01,{'PART_03': 200},2880.0,0.41923076923076924,0.2,0.2,0.01923076923076923,0.5,0.2962962962962963,0.9,0.0,0.1,0.2,0.3,0.2,0.1,0.006,2.0,1200.0,0.3476780626780627,,,,
dispatch,0.0,AGV_03,TOTE_0204,station_1,KIT_0001_01,{'PART_03': 200},2880.0,0.42272727272727273,0.2,0.2,0.022727272727272728,0.5,0.3611111111111111,0.9,0.0,0.1,0.2,0.3,0.2,0.1,0.006,2.0,1200.0,0.3443434343434344,,,,
dispatch,0.0,AGV_09,TOTE_0279,station_2,KIT_0002_01,{'PART_04': 400},2880.0,0.4120937263794407,0.2,0.1814814814814815,0.030612244897959183,0.5,0.3287037037037037,0.9,0.0,0.1,0.2,0.3,0.2,0.1,0.006,2.0,1200.0,0.33801398337112626,,,,
dispatch,0.0,AGV_04,TOTE_0210,station_3,KIT_0003_01,{'PART_03': 200},2880.0,0.40772743238496667,0.2,0.18717948717948718,0.02054794520547945,0.5,0.3055555555555556,0.9,0.0,0.1,0.2,0.3,0.2,0.1,0.006,2.0,1200.0,0.33639913359091445,,,,
dispatch,0.0,AGV_10,TOTE_0222,station_1,KIT_0001_01,{'PART_03': 200},2880.0,0.4094386487829111,0.2,0.18484848484848485,0.024590163934426226,0.5,0.37962962962962965,0.9,0.0,0.1,0.2,0.3,0.2,0.1,0.006,2.0,1200.0,0.330531820941657,,,,
kitting_started,25.999999999999996,AGV_01,TOTE_0252,station_4,KIT_0004_01,,,,,,,,,,,,,,,,,,,,,,,
kitting_started,34.00000000000001,AGV_08,TOTE_0192,station_3,KIT_0003_01,,,,,,,,,,,,,,,,,,,,,,,
kitting_started,36.0,AGV_07,TOTE_0261,station_2,KIT_0002_01,,,,,,,,,,,,,,,,,,,,,,,
kitting_started,42.0,AGV_03,TOTE_0204,station_1,KIT_0001_01,,,,,,,,,,,,,,,,,,,,,,,
kitting_completed,66.0,AGV_01,TOTE_0252,station_4,KIT_0004_01,,,,,,,,,,,,,,,,,,,,{'PART_04': 400},False,,
dispatch,66.0,AGV_05,TOTE_0288,station_4,KIT_0004_01,{'PART_04': 400},2880.0,0.40372618324804116,0.20392857142857143,0.1506172839506173,0.04918032786885245,0.5,0.29523809523809524,0.9,0.0,0.1,0.2,0.3,0.2,0.1,0.006,2.0,1200.0,0.33382975539942755,,,,
kitting_started,67.33333333333333,AGV_02,TOTE_0270,station_4,KIT_0004_01,,,,,,,,,,,,,,,,,,,,,,,
kitting_completed,74.0,AGV_08,TOTE_0192,station_3,KIT_0003_01,,,,,,,,,,,,,,,,,,,,{'PART_03': 200},False,,
dispatch,74.0,AGV_06,TOTE_0228,station_3,KIT_0003_01,{'PART_03': 200},2880.0,0.400822559793148,0.20440476190476192,0.17435897435897438,0.022058823529411766,0.5,0.3333333333333333,0.9,0.0,0.1,0.2,0.3,0.2,0.1,0.006,2.0,1200.0,0.3274069704804999,,,,
kitting_started,75.33333333333333,AGV_04,TOTE_0210,station_3,KIT_0003_01,,,,,,,,,,,,,,,,,,,,,,,
kitting_completed,76.0,AGV_07,TOTE_0261,station_2,KIT_0002_01,,,,,,,,,,,,,,,,,,,,{'PART_04': 400},False,,
kitting_started,77.33333333333333,AGV_09,TOTE_0279,station_2,KIT_0002_01,,,,,,,,,,,,,,,,,,,,,,,
kitting_completed,82.0,AGV_03,TOTE_0204,station_1,KIT_0001_01,,,,,,,,,,,,,,,,,,,,{'PART_03': 200},False,,
kitting_started,83.33333333333333,AGV_10,TOTE_0222,station_1,KIT_0001_01,,,,,,,,,,,,,,,,,,,,,,,
dispatch,86.0,AGV_01,TOTE_0297,station_2,KIT_0002_01,{'PART_04': 400},2880.0,0.4021729196729197,0.20511904761904762,0.16296296296296298,0.03409090909090909,0.5,0.26666666666666666,0.9,0.0,0.1,0.2,0.3,0.2,0.1,0.006,2.0,1200.0,0.33528896103896105,,,,
dispatch,92.66666666666667,AGV_08,TOTE_0240,station_1,KIT_0001_01,{'PART_03': 200},2880.0,0.401998556998557,0.20551587301587304,0.1696969696969697,0.026785714285714284,0.5,0.2619047619047619,0.9,0.0,0.1,0.2,0.3,0.2,0.1,0.006,2.0,1200.0,0.33560822510822513,,,,
kitting_completed,107.33333333333333,AGV_02,TOTE_0270,station_4,KIT_0004_01,,,,,,,,,,,,,,,,,,,,{'PART_04': 400},False,,
