part_id,kit_id,required_quantity
PART_01,KIT_0001_01,360
PART_01,KIT_0002_01,240
PART_01,KIT_0003_01,480
PART_01,KIT_0005_01,300
PART_01,KIT_0005_02,300
PART_01,KIT_0006_01,280
PART_01,KIT_0007_01,480
PART_01,KIT_0009_01,375
PART_01,KIT_0009_02,375
PART_01,KIT_0010_01,360
PART_01,KIT_0011_01,320
PART_01,KIT_0011_02,320
PART_01,KIT_0013_01,350
PART_01,KIT_0013_02,350
PART_01,KIT_0014_01,360
PART_01,KIT_0015_01,240
PART_01,KIT_0017_01,315
PART_01,KIT_0017_02,310
PART_01,KIT_0018_01,405
PART_01,KIT_0019_01,240
PART_01,KIT_0020_01,272
PART_01,KIT_0020_02,268
PART_01,KIT_0021_01,250
PART_01,KIT_0021_02,250
PART_01,KIT_0022_01,435
PART_01,KIT_0023_01,160
PART_01,KIT_0023_02,160
PART_01,KIT_0024_01,272
PART_01,KIT_0024_02,268
PART_01,KIT_0026_01,345
PART_01,KIT_0027_01,200
PART_01,KIT_0028_01,392
PART_01,KIT_0030_01,415
PART_01,KIT_0030_02,410
PART_02,KIT_0001_01,600
PART_02,KIT_0002_01,960
PART_02,KIT_0004_01,360
PART_02,KIT_0004_02,360
PART_02,KIT_0005_01,240
PART_02,KIT_0005_02,240
PART_02,KIT_0006_01,1120
PART_02,KIT_0008_01,390
PART_02,KIT_0008_02,390
PART_02,KIT_0009_01,300
PART_02,KIT_0009_02,300
PART_02,KIT_0010_01,600
PART_02,KIT_0012_01,600
PART_02,KIT_0013_01,280
PART_02,KIT_0013_02,280
PART_02,KIT_0014_01,600
PART_02,KIT_0015_01,960
PART_02,KIT_0016_01,468
PART_02,KIT_0016_02,462
PART_02,KIT_0017_01,252
PART_02,KIT_0017_02,248
PART_02,KIT_0018_01,675
PART_02,KIT_0019_01,960
PART_02,KIT_0021_01,200
PART_02,KIT_0021_02,200
PART_02,KIT_0022_01,725
PART_02,KIT_0023_01,640
PART_02,KIT_0023_02,640
PART_02,KIT_0025_01,360
PART_02,KIT_0025_02,360
PART_02,KIT_0026_01,575
PART_02,KIT_0027_01,800
PART_02,KIT_0029_01,378
PART_02,KIT_0029_02,372
PART_02,KIT_0030_01,332
PART_02,KIT_0030_02,328
PART_03,KIT_0001_01,1200
PART_03,KIT_0003_01,1800
PART_03,KIT_0007_01,1800
PART_03,KIT_0010_01,1200
PART_03,KIT_0011_01,1200
PART_03,KIT_0011_02,1200
PART_03,KIT_0014_01,1200
PART_03,KIT_0018_01,1350
PART_03,KIT_0020_01,1020
PART_03,KIT_0020_02,1005
PART_03,KIT_0022_01,1450
PART_03,KIT_0024_01,1020
PART_03,KIT_0024_02,1005
PART_03,KIT_0026_01,1150
PART_03,KIT_0028_01,1470
PART_06,KIT_0001_01,480
PART_06,KIT_0010_01,480
PART_06,KIT_0014_01,480
PART_06,KIT_0018_01,540
PART_06,KIT_0022_01,580
PART_06,KIT_0026_01,460
PART_04,KIT_0002_01,3000
PART_04,KIT_0004_01,1800
PART_04,KIT_0004_02,1800
PART_04,KIT_0006_01,3500
PART_04,KIT_0008_01,1950
PART_04,KIT_0008_02,1950
PART_04,KIT_0012_01,3000
PART_04,KIT_0015_01,3000
PART_04,KIT_0016_01,2340
PART_04,KIT_0016_02,2310
PART_04,KIT_0019_01,3000
PART_04,KIT_0023_01,2000
PART_04,KIT_0023_02,2000
PART_04,KIT_0025_01,1800
PART_04,KIT_0025_02,1800
PART_04,KIT_0027_01,2500
PART_04,KIT_0029_01,1890
PART_04,KIT_0029_02,1860
PART_07,KIT_0002_01,120
PART_07,KIT_0006_01,140
PART_07,KIT_0015_01,120
PART_07,KIT_0019_01,120
PART_07,KIT_0023_01,80
PART_07,KIT_0023_02,80
PART_07,KIT_0027_01,100
PART_05,KIT_0003_01,600
PART_05,KIT_0004_01,480
PART_05,KIT_0004_02,480
PART_05,KIT_0005_01,720
PART_05,KIT_0005_02,720
PART_05,KIT_0007_01,600
PART_05,KIT_0008_01,520
PART_05,KIT_0008_02,520
PART_05,KIT_0009_01,900
PART_05,KIT_0009_02,900
PART_05,KIT_0011_01,400
PART_05,KIT_0011_02,400
PART_05,KIT_0012_01,800
PART_05,KIT_0013_01,840
PART_05,KIT_0013_02,840
PART_05,KIT_0016_01,624
PART_05,KIT_0016_02,616
PART_05,KIT_0017_01,756
PART_05,KIT_0017_02,744
PART_05,KIT_0020_01,340
PART_05,KIT_0020_02,335
PART_05,KIT_0021_01,600
PART_05,KIT_0021_02,600
PART_05,KIT_0024_01,340
PART_05,KIT_0024_02,335
PART_05,KIT_0025_01,480
PART_05,KIT_0025_02,480
PART_05,KIT_0028_01,490
PART_05,KIT_0029_01,504
PART_05,KIT_0029_02,496
PART_05,KIT_0030_01,996
PART_05,KIT_0030_02,984
PART_08,KIT_0003_01,240
PART_08,KIT_0007_01,240
PART_08,KIT_0011_01,160
PART_08,KIT_0011_02,160
PART_08,KIT_0020_01,136
